x,y,C
0,0,99
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,6
8,0,4
9,0,7
10,0,0
11,0,4
12,0,4
0,1,0
1,1,9
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,1
11,1,2
12,1,0
0,2,0
1,2,0
2,2,9
3,2,1
4,2,0
5,2,0
6,2,0
7,2,2
8,2,0
9,2,2
10,2,0
11,2,2
12,2,0
0,3,0
1,3,0
2,3,0
3,3,31
4,3,0
5,3,0
6,3,0
7,3,1
8,3,0
9,3,0
10,3,0
11,3,1
12,3,0
0,4,2
1,4,0
2,4,1
3,4,0
4,4,140
5,4,0
6,4,0
7,4,1
8,4,2
9,4,8
10,4,0
11,4,28
12,4,3
0,5,0
1,5,0
2,5,0
3,5,0
4,5,0
5,5,1
6,5,0
7,5,3
8,5,0
9,5,1
10,5,0
11,5,0
12,5,0
0,6,0
1,6,0
2,6,0
3,6,0
4,6,0
5,6,0
6,6,3
7,6,0
8,6,0
9,6,0
10,6,0
11,6,0
12,6,0
0,7,4
1,7,0
2,7,1
3,7,1
4,7,0
5,7,1
6,7,0
7,7,125
8,7,3
9,7,3
10,7,0
11,7,17
12,7,3
0,8,4
1,8,0
2,8,3
3,8,1
4,8,2
5,8,0
6,8,0
7,8,14
8,8,174
9,8,40
10,8,0
11,8,20
12,8,3
0,9,5
1,9,0
2,9,0
3,9,0
4,9,0
5,9,0
6,9,0
7,9,15
8,9,15
9,9,164
10,9,0
11,9,17
12,9,4
0,10,0
1,10,0
2,10,0
3,10,0
4,10,0
5,10,0
6,10,0
7,10,0
8,10,0
9,10,1
10,10,4
11,10,2
12,10,1
0,11,9
1,11,1
2,11,0
3,11,5
4,11,31
5,11,0
6,11,0
7,11,20
8,11,17
9,11,18
10,11,2
11,11,780
12,11,3
0,12,7
1,12,0
2,12,0
3,12,0
4,12,0
5,12,0
6,12,0
7,12,1
8,12,2
9,12,1
10,12,0
11,12,3
12,12,19
